Starting Ecommerce Simulator. Producing to topic: ecommerce_events
Sent: add_to_cart - User: user_5052 - $395.0
Sent: add_to_cart - User: user_7039 - $232.53
Sent: add_to_cart - User: user_3189 - $71.4
Sent: add_to_cart - User: user_8332 - $36.04
Sent: checkout - User: user_4552 - $376.97
Sent: add_to_cart - User: user_4148 - $56.17
Sent: add_to_cart - User: user_2928 - $158.99
Sent: add_to_cart - User: user_6495 - $440.63
Sent: add_to_cart - User: user_2357 - $25.13
Sent: add_to_cart - User: user_1727 - $236.51
Sent: checkout - User: user_1212 - $257.4
Sent: add_to_cart - User: user_5361 - $240.99
Sent: add_to_cart - User: user_5441 - $490.82
Sent: add_to_cart - User: user_6156 - $249.79
Sent: add_to_cart - User: user_2110 - $171.13
Sent: checkout - User: user_8682 - $488.51
Sent: checkout - User: user_7677 - $205.41
Sent: add_to_cart - User: user_8377 - $392.96
Sent: add_to_cart - User: user_9233 - $245.48
Sent: add_to_cart - User: user_7599 - $15.23
Sent: add_to_cart - User: user_2463 - $480.76
Sent: checkout - User: user_5765 - $163.67
Sent: add_to_cart - User: user_4448 - $29.17
Sent: add_to_cart - User: user_4097 - $103.8
Sent: add_to_cart - User: user_6292 - $232.5
Sent: checkout - User: user_3249 - $218.37
Sent: add_to_cart - User: user_4646 - $78.98
Sent: add_to_cart - User: user_8927 - $260.33
Sent: add_to_cart - User: user_2629 - $126.0
Sent: add_to_cart - User: user_2754 - $401.67
Sent: add_to_cart - User: user_9175 - $134.41
Sent: add_to_cart - User: user_4340 - $107.79
Sent: add_to_cart - User: user_5156 - $69.42
Sent: checkout - User: user_8336 - $406.6
Sent: checkout - User: user_8929 - $48.61
Sent: add_to_cart - User: user_7437 - $448.28
Sent: add_to_cart - User: user_1154 - $245.32
Sent: add_to_cart - User: user_9458 - $476.18
Sent: add_to_cart - User: user_3870 - $437.33
Sent: add_to_cart - User: user_9025 - $226.32
Sent: add_to_cart - User: user_6356 - $191.0
Sent: checkout - User: user_8996 - $311.79
Sent: add_to_cart - User: user_5538 - $156.32
Sent: add_to_cart - User: user_7549 - $328.31
Sent: add_to_cart - User: user_9979 - $399.39
Sent: add_to_cart - User: user_3485 - $486.73
Sent: add_to_cart - User: user_2033 - $479.4
Sent: add_to_cart - User: user_5846 - $366.68
Sent: checkout - User: user_3444 - $286.0
Sent: checkout - User: user_4422 - $244.13
Sent: add_to_cart - User: user_6885 - $342.76
Sent: checkout - User: user_5765 - $448.1
Sent: add_to_cart - User: user_6766 - $340.85
Sent: add_to_cart - User: user_2383 - $148.59
Sent: add_to_cart - User: user_6074 - $355.88
Sent: add_to_cart - User: user_8598 - $199.14
Sent: checkout - User: user_5388 - $262.39
Sent: checkout - User: user_7416 - $280.96
Sent: checkout - User: user_5039 - $354.55
Sent: checkout - User: user_9072 - $78.73
Sent: checkout - User: user_1845 - $389.93
Sent: add_to_cart - User: user_8299 - $82.24
Sent: add_to_cart - User: user_9932 - $303.92
Sent: add_to_cart - User: user_7125 - $423.42
Sent: add_to_cart - User: user_8609 - $335.22
Sent: checkout - User: user_5348 - $102.11
Sent: add_to_cart - User: user_6985 - $329.31
Sent: add_to_cart - User: user_4794 - $249.22
Sent: checkout - User: user_1939 - $394.85
Sent: add_to_cart - User: user_5871 - $24.43
Sent: add_to_cart - User: user_2373 - $109.81
Sent: add_to_cart - User: user_3703 - $482.22
Sent: add_to_cart - User: user_1705 - $299.05
Sent: add_to_cart - User: user_9202 - $265.66
Sent: add_to_cart - User: user_6333 - $253.23
Sent: checkout - User: user_8158 - $236.05
Sent: add_to_cart - User: user_3241 - $266.53
Sent: checkout - User: user_2430 - $281.96
Sent: checkout - User: user_8401 - $224.82
Sent: checkout - User: user_6883 - $417.23
Sent: add_to_cart - User: user_7599 - $75.03
Sent: add_to_cart - User: user_6792 - $143.85
Sent: add_to_cart - User: user_7070 - $405.39
Sent: checkout - User: user_2429 - $165.78
Sent: checkout - User: user_7708 - $149.51
Sent: add_to_cart - User: user_8625 - $431.2
Sent: add_to_cart - User: user_3528 - $241.35
Sent: add_to_cart - User: user_7002 - $463.32
Sent: add_to_cart - User: user_8558 - $23.37
Sent: add_to_cart - User: user_3514 - $330.47
Sent: add_to_cart - User: user_3259 - $442.87
Sent: add_to_cart - User: user_3002 - $381.65
Sent: add_to_cart - User: user_1282 - $52.88
Sent: add_to_cart - User: user_2477 - $30.22
Sent: add_to_cart - User: user_7515 - $233.41
Sent: add_to_cart - User: user_3021 - $332.13
Sent: checkout - User: user_5114 - $424.11
Sent: add_to_cart - User: user_1719 - $216.65
Sent: add_to_cart - User: user_4836 - $305.58
Sent: add_to_cart - User: user_3107 - $382.03
Sent: add_to_cart - User: user_1696 - $432.1
Sent: add_to_cart - User: user_1214 - $332.83
Sent: add_to_cart - User: user_6173 - $373.04
Sent: add_to_cart - User: user_3250 - $480.24
Sent: checkout - User: user_9326 - $330.66
Sent: add_to_cart - User: user_2332 - $201.35
Sent: add_to_cart - User: user_5824 - $240.02
Sent: add_to_cart - User: user_9968 - $460.7
Sent: add_to_cart - User: user_8990 - $206.66
Sent: add_to_cart - User: user_9599 - $168.8
Sent: add_to_cart - User: user_3782 - $190.11
Sent: checkout - User: user_7943 - $435.76
Sent: add_to_cart - User: user_5746 - $260.49
Sent: add_to_cart - User: user_6667 - $251.2
Sent: add_to_cart - User: user_1032 - $191.57
Sent: checkout - User: user_2825 - $138.52
Sent: add_to_cart - User: user_7480 - $189.0
Sent: add_to_cart - User: user_1081 - $198.23
Sent: add_to_cart - User: user_2345 - $316.23
Sent: add_to_cart - User: user_8213 - $471.32
Sent: add_to_cart - User: user_4808 - $180.86
Sent: checkout - User: user_2429 - $452.38
Sent: add_to_cart - User: user_6976 - $407.79
Sent: add_to_cart - User: user_2415 - $479.62
Sent: add_to_cart - User: user_4405 - $182.09
Sent: add_to_cart - User: user_3401 - $76.2
Sent: checkout - User: user_4467 - $130.64
Sent: add_to_cart - User: user_7096 - $343.56
Sent: add_to_cart - User: user_8985 - $243.8
Sent: add_to_cart - User: user_3616 - $299.87
Sent: add_to_cart - User: user_9885 - $372.03
Sent: add_to_cart - User: user_3559 - $274.05
Sent: add_to_cart - User: user_3234 - $336.31
Sent: add_to_cart - User: user_6431 - $305.46
Sent: add_to_cart - User: user_1449 - $164.68
Sent: checkout - User: user_4582 - $358.07
Sent: checkout - User: user_8779 - $257.56
Sent: checkout - User: user_2213 - $265.23
Sent: checkout - User: user_4370 - $477.3
Sent: add_to_cart - User: user_6356 - $51.67
